d,ev,ac,nu
2026-03-01,17517.0,24138.0,2379.0
2026-03-02,10318.0,11154.0,2402.0
2026-03-03,7021.0,7411.0,2377.0
2026-03-04,5317.0,3312.0,2391.0
2026-03-05,5263.0,3285.0,2289.0
2026-03-06,5330.0,3171.0,2404.0
2026-03-07,5472.0,3246.0,2391.0
2026-03-08,5283.0,3252.0,2396.0
2026-03-09,5352.0,3424.0,2320.0
2026-03-10,5517.0,3235.0,2335.0
2026-03-11,5362.0,3306.0,2396.0
2026-03-12,5355.0,3283.0,2393.0
2026-03-13,5755.0,3159.0,2461.0
2026-03-14,8100.0,3259.0,2376.0
2026-03-15,10805.0,6925.0,2381.0
2026-03-16,11500.0,9974.0,2426.0
2026-03-17,9488.0,10247.0,2390.0
2026-03-18,6622.0,6374.0,2415.0
2026-03-19,5283.0,3264.0,2269.0
2026-03-20,5366.0,3381.0,2501.0
2026-03-21,5323.0,3329.0,2336.0
2026-03-22,5281.0,3199.0,2398.0
2026-03-23,5341.0,3277.0,2401.0
2026-03-24,5311.0,3258.0,2344.0
2026-03-25,5321.0,3269.0,2426.0
2026-03-26,5384.0,3239.0,2325.0
2026-03-27,5324.0,3263.0,2389.0
2026-03-28,5482.0,3280.0,2389.0
2026-03-29,6121.0,3274.0,2305.0
2026-03-30,8714.0,3506.0,2343.0
2026-03-31,11890.0,7601.0,2376.0
2026-04-01,12867.0,11562.0,2315.0
2026-04-02,10312.0,11448.0,2382.0
2026-04-03,6696.0,7232.0,2421.0
2026-04-04,5308.0,3221.0,2383.0
2026-04-05,5198.0,3255.0,2349.0
2026-04-06,5306.0,3264.0,2381.0
2026-04-07,5283.0,3269.0,2321.0
2026-04-08,5117.0,3269.0,2376.0
2026-04-09,5315.0,3178.0,2370.0
2026-04-10,5202.0,3193.0,2387.0
2026-04-11,5452.0,3307.0,2378.0
2026-04-12,5365.0,3284.0,2392.0
2026-04-13,6233.0,3243.0,2385.0
2026-04-14,9331.0,3248.0,2408.0
2026-04-15,11491.0,9727.0,2436.0
2026-04-16,10863.0,9597.0,2337.0
2026-04-17,7842.0,9853.0,2438.0
2026-04-18,5317.0,3273.0,2431.0
2026-04-19,5380.0,3319.0,2380.0
2026-04-20,5289.0,3268.0,2354.0
2026-04-21,5258.0,3247.0,2358.0
2026-04-22,5149.0,3183.0,2452.0
2026-04-23,5292.0,3203.0,2367.0
2026-04-24,5244.0,3230.0,2376.0
2026-04-25,5410.0,3225.0,2387.0
2026-04-26,5377.0,3288.0,2459.0
2026-04-27,5367.0,3281.0,2425.0
2026-04-28,5906.0,3216.0,2354.0
2026-04-29,8460.0,3281.0,2341.0
2026-04-30,11511.0,7266.0,2439.0
2026-05-01,12801.0,11286.0,2419.0
2026-05-02,10377.0,11352.0,2244.0
2026-05-03,6918.0,7384.0,2291.0
2026-05-04,5428.0,3364.0,2442.0
2026-05-05,5284.0,3277.0,2329.0
2026-05-06,5286.0,3347.0,2402.0
2026-05-07,5277.0,3252.0,2292.0
2026-05-08,5320.0,3218.0,2299.0
2026-05-09,5339.0,3286.0,2459.0
2026-05-10,5321.0,3314.0,2457.0
2026-05-11,5402.0,3217.0,2376.0
2026-05-12,5439.0,3362.0,2286.0
2026-05-13,5800.0,3222.0,2423.0
2026-05-14,7897.0,3183.0,2331.0
2026-05-15,10564.0,6978.0,2301.0
2026-05-16,11567.0,10052.0,2296.0
2026-05-17,9478.0,9965.0,2346.0
2026-05-18,6551.0,6389.0,2275.0
2026-05-19,5277.0,3186.0,2459.0
2026-05-20,5338.0,3322.0,2397.0
2026-05-21,5348.0,3225.0,2324.0
2026-05-22,5362.0,3280.0,2346.0
2026-05-23,5380.0,3221.0,2372.0
2026-05-24,5204.0,3182.0,2383.0
2026-05-25,5352.0,3201.0,2392.0
2026-05-26,5315.0,3266.0,2391.0
2026-05-27,5275.0,3277.0,2383.0
2026-05-28,5413.0,3207.0,2331.0
2026-05-29,6198.0,3297.0,2398.0
2026-05-30,8389.0,3537.0,2375.0
2026-05-31,11853.0,7361.0,2386.0
2026-06-01,12553.0,11264.0,2361.0
2026-06-02,10001.0,10945.0,2454.0
2026-06-03,6896.0,7130.0,2393.0
2026-06-04,5244.0,3193.0,2467.0
2026-06-05,5322.0,3295.0,2390.0
2026-06-06,5439.0,3272.0,2400.0
2026-06-07,5384.0,3354.0,2268.0
2026-06-08,5583.0,3271.0,2324.0
2026-06-09,5361.0,3333.0,2399.0
2026-06-10,5257.0,3259.0,2339.0
2026-06-11,5387.0,3150.0,2312.0
2026-06-12,5436.0,3281.0,2428.0
2026-06-13,5730.0,3334.0,2354.0
2026-06-14,7317.0,3213.0,2367.0
2026-06-15,8327.0,6313.0,2340.0
2026-06-16,8014.0,6378.0,2437.0
2026-06-17,6557.0,6443.0,2391.0
2026-06-18,5255.0,3118.0,2303.0
2026-06-19,5405.0,3188.0,2407.0
2026-06-20,5286.0,3267.0,2364.0
2026-06-21,5354.0,3206.0,2368.0
2026-06-22,5293.0,3239.0,2356.0
2026-06-23,5287.0,3249.0,2349.0
2026-06-24,5303.0,3155.0,2355.0
2026-06-25,5349.0,3291.0,2372.0
2026-06-26,5321.0,3281.0,2378.0
2026-06-27,4941.0,3252.0,2390.0
2026-06-28,3290.0,3273.0,2423.0
