corte_dia,corte,ventana_d,clientes_con_accion,pct_cobertura,acciones,acciones_por_cliente_activo,clase_mayoritaria,pct_mayoritaria,entropia_bits
90,2026-05-30,1,3379,8.9,3537,1.05,spei_out,42.6,2.369
90,2026-05-30,3,15282,40.2,22162,1.45,deposit_in,27.5,2.427
90,2026-05-30,7,24268,63.9,46725,1.93,deposit_in,26.8,2.439
90,2026-05-30,14,30345,79.9,69645,2.3,spei_out,29.8,2.458
100,2026-06-09,1,3176,8.4,3333,1.05,spei_out,44.6,2.313
100,2026-06-09,3,8563,22.5,9742,1.14,spei_out,44.9,2.318
100,2026-06-09,7,18606,49.0,25883,1.39,spei_out,41.6,2.388
100,2026-06-09,14,28384,74.7,54722,1.93,spei_out,40.1,2.406
105,2026-06-14,1,3082,8.1,3213,1.04,spei_out,46.3,2.293
105,2026-06-14,3,12453,32.8,15904,1.28,spei_out,30.3,2.48
105,2026-06-14,7,20701,54.5,31920,1.54,spei_out,33.6,2.467
105,2026-06-14,14,28314,74.5,54593,1.93,spei_out,37.2,2.439
