screen,action,eventos,con_accion,p_accion_acoplada_%
bill_payment,abandon,2270,52,2.29
bill_payment,start,37874,23767,62.75
bill_payment,view,82826,46035,55.58
card_settings,abandon,2038,0,0.0
card_settings,start,3270,0,0.0
card_settings,view,15037,0,0.0
card_statement,abandon,2829,48,1.7
card_statement,start,29455,16287,55.29
card_statement,view,69036,31954,46.29
home,abandon,7617,196,2.57
home,start,50287,26428,52.55
home,view,131157,52476,40.01
investments,abandon,1016,3,0.3
investments,start,5935,2769,46.66
investments,view,15633,5408,34.59
limit_increase,abandon,1000,2,0.2
limit_increase,start,4673,2005,42.91
limit_increase,view,13584,3880,28.56
loan_simulation,abandon,1301,2,0.15
loan_simulation,start,4666,1702,36.48
loan_simulation,view,14789,3451,23.33
savings_cajita,abandon,2061,21,1.02
savings_cajita,start,20924,12192,58.27
savings_cajita,view,49703,23684,47.65
support,abandon,2297,0,0.0
support,start,3645,0,0.0
support,view,16536,0,0.0
transfer_spei,abandon,2992,112,3.74
transfer_spei,start,64730,39360,60.81
transfer_spei,view,138123,76961,55.72
