screen,abandon,start,view,total,pct_abandon,pct_start
transfer_spei,2992,64730,138123,205845,1.45,31.45
home,7617,50287,131157,189061,4.03,26.6
bill_payment,2270,37874,82826,122970,1.85,30.8
card_statement,2829,29455,69036,101320,2.79,29.07
savings_cajita,2061,20924,49703,72688,2.84,28.79
investments,1016,5935,15633,22584,4.5,26.28
support,2297,3645,16536,22478,10.22,16.22
loan_simulation,1301,4666,14789,20756,6.27,22.48
card_settings,2038,3270,15037,20345,10.02,16.07
limit_increase,1000,4673,13584,19257,5.19,24.27
