screen,bill_payment,card_payment,deposit_in,investment_buy,limit_increase_request,loan_request,savings_move,spei_out
bill_payment,4.2,0.35,0.77,0.37,0.31,0.36,0.7,0.37
card_settings,0.28,0.34,0.27,0.35,0.36,0.37,0.26,0.37
card_statement,0.28,5.45,0.29,0.36,0.36,0.35,0.27,0.37
home,0.61,0.35,2.76,0.34,0.34,0.35,0.69,0.37
investments,0.29,0.34,0.29,23.53,0.38,0.31,0.27,0.36
limit_increase,0.28,0.37,0.29,0.31,27.23,0.55,0.25,0.36
loan_simulation,0.28,0.37,0.29,0.32,0.56,25.25,0.27,0.37
savings_cajita,0.68,0.35,0.83,0.34,0.34,0.37,6.47,0.36
support,0.28,0.35,0.29,0.29,0.32,0.33,0.25,0.38
transfer_spei,0.28,0.35,0.29,0.33,0.36,0.33,0.27,2.82
