screen,bill_payment,card_payment,deposit_in,investment_buy,limit_increase_request,loan_request,savings_move,spei_out
bill_payment,82.72,4.78,17.47,0.88,0.54,0.56,7.93,11.31
card_settings,5.61,4.61,6.21,0.84,0.62,0.57,2.97,11.48
card_statement,5.46,73.96,6.5,0.86,0.63,0.54,3.06,11.32
home,12.03,4.78,62.53,0.81,0.6,0.53,7.78,11.37
investments,5.77,4.64,6.54,55.98,0.66,0.47,2.99,10.99
limit_increase,5.5,5.02,6.49,0.74,47.45,0.84,2.8,11.25
loan_simulation,5.52,5.02,6.51,0.75,0.97,38.76,3.09,11.43
savings_cajita,13.4,4.79,18.76,0.82,0.58,0.57,72.82,11.2
support,5.45,4.75,6.67,0.69,0.56,0.51,2.76,11.59
transfer_spei,5.59,4.8,6.61,0.79,0.63,0.51,2.99,87.06
