event_id,customer_id,event_ts,screen,action
1,6028271,2026-03-01 00:00:01,card_statement,view
2,6024604,2026-03-01 00:00:04,home,view
3,6030047,2026-03-01 00:00:07,home,view
4,6034195,2026-03-01 00:00:14,bill_payment,view
5,6033674,2026-03-01 00:00:18,savings_cajita,start
6,6000815,2026-03-01 00:00:22,home,start
7,6013988,2026-03-01 00:00:43,home,start
8,6036492,2026-03-01 00:00:43,savings_cajita,view
9,6033557,2026-03-01 00:00:47,home,view
10,6001571,2026-03-01 00:00:48,bill_payment,view
11,6025744,2026-03-01 00:00:48,bill_payment,view
12,6018398,2026-03-01 00:00:50,home,view
13,6037558,2026-03-01 00:01:02,transfer_spei,start
14,6000520,2026-03-01 00:01:02,home,start
15,6019878,2026-03-01 00:01:06,bill_payment,view
16,6026100,2026-03-01 00:01:06,savings_cajita,view
17,6022762,2026-03-01 00:01:09,bill_payment,view
18,6007415,2026-03-01 00:01:09,bill_payment,start
19,6028163,2026-03-01 00:01:19,bill_payment,view
20,6033350,2026-03-01 00:01:26,bill_payment,start
21,6012291,2026-03-01 00:01:31,home,view
22,6002731,2026-03-01 00:01:32,savings_cajita,view
23,6016163,2026-03-01 00:01:35,bill_payment,view
24,6033147,2026-03-01 00:01:39,card_statement,view
25,6009710,2026-03-01 00:01:39,home,view
26,6022928,2026-03-01 00:01:41,bill_payment,start
27,6035596,2026-03-01 00:01:44,home,view
28,6011895,2026-03-01 00:01:47,home,start
29,6013000,2026-03-01 00:01:49,home,view
30,6014138,2026-03-01 00:01:53,bill_payment,view
31,6015973,2026-03-01 00:01:53,savings_cajita,view
32,6004261,2026-03-01 00:01:56,transfer_spei,start
33,6036853,2026-03-01 00:01:57,home,view
34,6010833,2026-03-01 00:01:58,bill_payment,view
35,6018797,2026-03-01 00:02:13,home,view
36,6001908,2026-03-01 00:02:18,savings_cajita,start
37,6014618,2026-03-01 00:02:22,home,view
38,6002926,2026-03-01 00:02:24,savings_cajita,view
39,6026125,2026-03-01 00:02:25,bill_payment,start
40,6026289,2026-03-01 00:02:26,bill_payment,start
41,6030393,2026-03-01 00:02:30,home,start
42,6014274,2026-03-01 00:02:35,savings_cajita,view
43,6025578,2026-03-01 00:02:36,bill_payment,view
44,6017143,2026-03-01 00:02:40,bill_payment,start
45,6000354,2026-03-01 00:02:40,home,view
46,6007183,2026-03-01 00:02:42,home,start
47,6006316,2026-03-01 00:02:42,home,start
48,6010861,2026-03-01 00:02:46,home,view
49,6009358,2026-03-01 00:02:49,bill_payment,start
50,6004747,2026-03-01 00:02:54,home,view
51,6014307,2026-03-01 00:02:56,savings_cajita,start
52,6014085,2026-03-01 00:03:03,savings_cajita,view
53,6017047,2026-03-01 00:03:05,savings_cajita,view
54,6032351,2026-03-01 00:03:06,home,view
55,6000221,2026-03-01 00:03:11,bill_payment,view
56,6018113,2026-03-01 00:03:19,home,start
57,6025543,2026-03-01 00:03:20,savings_cajita,view
58,6027804,2026-03-01 00:03:33,home,start
59,6027123,2026-03-01 00:03:38,bill_payment,view
60,6019839,2026-03-01 00:03:49,bill_payment,view
61,6030856,2026-03-01 00:03:51,bill_payment,view
62,6029825,2026-03-01 00:03:56,home,start
63,6033077,2026-03-01 00:03:56,savings_cajita,start
64,6021798,2026-03-01 00:04:07,home,view
65,6016743,2026-03-01 00:04:13,bill_payment,view
66,6007589,2026-03-01 00:04:14,bill_payment,view
67,6023718,2026-03-01 00:04:14,savings_cajita,view
68,6000321,2026-03-01 00:04:17,home,start
69,6001168,2026-03-01 00:04:19,bill_payment,view
70,6018706,2026-03-01 00:04:27,transfer_spei,view
71,6036440,2026-03-01 00:04:27,bill_payment,start
72,6005489,2026-03-01 00:04:29,home,view
73,6030735,2026-03-01 00:04:47,home,start
74,6020166,2026-03-01 00:04:49,bill_payment,view
75,6030566,2026-03-01 00:04:52,savings_cajita,view
76,6007095,2026-03-01 00:05:09,savings_cajita,start
77,6016502,2026-03-01 00:05:12,bill_payment,view
78,6036268,2026-03-01 00:05:22,transfer_spei,view
79,6003428,2026-03-01 00:05:31,savings_cajita,view
80,6005844,2026-03-01 00:05:32,savings_cajita,view
81,6023874,2026-03-01 00:05:33,home,view
82,6024108,2026-03-01 00:05:36,home,view
83,6032235,2026-03-01 00:05:36,home,view
84,6001742,2026-03-01 00:05:38,bill_payment,start
85,6018206,2026-03-01 00:05:42,home,view
86,6019822,2026-03-01 00:05:48,home,view
87,6014484,2026-03-01 00:05:49,home,view
88,6003119,2026-03-01 00:05:51,home,view
89,6000826,2026-03-01 00:05:51,savings_cajita,start
90,6003037,2026-03-01 00:05:54,home,view
91,6003165,2026-03-01 00:06:00,transfer_spei,view
92,6001109,2026-03-01 00:06:07,home,view
93,6000434,2026-03-01 00:06:17,home,view
94,6030873,2026-03-01 00:06:25,home,view
95,6035717,2026-03-01 00:06:38,bill_payment,view
96,6008306,2026-03-01 00:06:46,bill_payment,start
97,6034023,2026-03-01 00:06:46,home,start
98,6031659,2026-03-01 00:06:53,home,start
99,6031555,2026-03-01 00:06:54,home,view
100,6009579,2026-03-01 00:06:58,home,start
101,6036470,2026-03-01 00:06:58,bill_payment,start
102,6000597,2026-03-01 00:06:59,bill_payment,start
103,6005704,2026-03-01 00:07:00,home,view
104,6009524,2026-03-01 00:07:14,transfer_spei,view
105,6013474,2026-03-01 00:07:16,savings_cajita,view
106,6026025,2026-03-01 00:07:23,bill_payment,view
107,6025678,2026-03-01 00:07:42,home,view
108,6023344,2026-03-01 00:07:50,bill_payment,view
109,6007255,2026-03-01 00:07:53,savings_cajita,start
110,6031455,2026-03-01 00:08:08,bill_payment,view
111,6031510,2026-03-01 00:08:09,transfer_spei,view
112,6018183,2026-03-01 00:08:09,transfer_spei,view
113,6010455,2026-03-01 00:08:22,savings_cajita,view
114,6013329,2026-03-01 00:08:28,home,view
115,6002713,2026-03-01 00:08:39,savings_cajita,view
116,6030626,2026-03-01 00:08:42,home,view
117,6029154,2026-03-01 00:08:43,bill_payment,view
118,6036064,2026-03-01 00:08:44,bill_payment,start
119,6028171,2026-03-01 00:08:44,savings_cajita,view
120,6021978,2026-03-01 00:09:02,bill_payment,start
121,6033617,2026-03-01 00:09:04,savings_cajita,view
122,6023744,2026-03-01 00:09:09,savings_cajita,view
123,6008397,2026-03-01 00:09:11,savings_cajita,view
124,6026016,2026-03-01 00:09:12,savings_cajita,start
125,6009066,2026-03-01 00:09:23,bill_payment,view
126,6033892,2026-03-01 00:09:28,transfer_spei,view
127,6015797,2026-03-01 00:09:33,bill_payment,view
128,6003491,2026-03-01 00:09:37,bill_payment,start
129,6016976,2026-03-01 00:09:43,bill_payment,view
130,6023809,2026-03-01 00:09:45,savings_cajita,view
131,6012743,2026-03-01 00:09:46,home,start
132,6033127,2026-03-01 00:09:50,bill_payment,start
133,6035452,2026-03-01 00:09:51,bill_payment,view
134,6035779,2026-03-01 00:10:09,bill_payment,start
135,6014020,2026-03-01 00:10:16,savings_cajita,start
136,6003929,2026-03-01 00:10:18,loan_simulation,view
137,6031749,2026-03-01 00:10:21,bill_payment,start
138,6018173,2026-03-01 00:10:22,bill_payment,start
139,6024887,2026-03-01 00:10:23,bill_payment,view
140,6016348,2026-03-01 00:10:24,savings_cajita,view
141,6020655,2026-03-01 00:10:29,bill_payment,view
142,6026343,2026-03-01 00:10:31,savings_cajita,start
143,6000520,2026-03-01 00:10:33,home,view
144,6011898,2026-03-01 00:10:35,transfer_spei,view
145,6015731,2026-03-01 00:10:40,bill_payment,start
146,6016748,2026-03-01 00:10:52,home,start
147,6016627,2026-03-01 00:10:52,home,start
148,6008526,2026-03-01 00:10:54,transfer_spei,start
149,6030855,2026-03-01 00:10:55,home,view
150,6024769,2026-03-01 00:10:58,home,view
151,6016440,2026-03-01 00:11:03,home,view
152,6037560,2026-03-01 00:11:04,home,view
153,6004639,2026-03-01 00:11:11,home,view
154,6018662,2026-03-01 00:11:18,home,start
155,6018716,2026-03-01 00:11:21,card_statement,view
156,6005091,2026-03-01 00:11:26,transfer_spei,view
157,6016505,2026-03-01 00:11:38,transfer_spei,view
158,6010191,2026-03-01 00:11:43,home,start
159,6006930,2026-03-01 00:11:44,savings_cajita,start
160,6021887,2026-03-01 00:11:52,bill_payment,view
161,6037166,2026-03-01 00:11:55,home,view
162,6031326,2026-03-01 00:12:00,savings_cajita,view
163,6028654,2026-03-01 00:12:03,home,view
164,6015665,2026-03-01 00:12:03,bill_payment,view
165,6025523,2026-03-01 00:12:10,savings_cajita,view
166,6034325,2026-03-01 00:12:16,bill_payment,view
167,6021506,2026-03-01 00:12:16,transfer_spei,start
168,6016612,2026-03-01 00:12:18,savings_cajita,view
169,6009617,2026-03-01 00:12:18,savings_cajita,view
170,6017394,2026-03-01 00:12:20,savings_cajita,view
171,6014310,2026-03-01 00:12:30,home,start
172,6035611,2026-03-01 00:12:38,bill_payment,view
173,6027645,2026-03-01 00:12:42,home,start
174,6037357,2026-03-01 00:12:42,savings_cajita,start
175,6031014,2026-03-01 00:12:43,home,view
176,6030963,2026-03-01 00:12:48,bill_payment,start
177,6029365,2026-03-01 00:12:48,home,view
178,6022251,2026-03-01 00:12:52,bill_payment,view
179,6000802,2026-03-01 00:12:55,home,start
180,6012822,2026-03-01 00:13:01,home,start
181,6016423,2026-03-01 00:13:04,bill_payment,view
182,6009926,2026-03-01 00:13:06,home,start
183,6035656,2026-03-01 00:13:09,home,view
184,6017080,2026-03-01 00:13:16,transfer_spei,view
185,6011529,2026-03-01 00:13:22,bill_payment,view
186,6002340,2026-03-01 00:13:24,home,view
187,6028753,2026-03-01 00:13:28,home,view
188,6019944,2026-03-01 00:13:33,savings_cajita,start
189,6022715,2026-03-01 00:13:33,home,view
190,6012446,2026-03-01 00:13:35,home,view
191,6015204,2026-03-01 00:13:40,bill_payment,view
192,6036846,2026-03-01 00:13:44,savings_cajita,start
193,6020730,2026-03-01 00:13:49,savings_cajita,start
194,6004758,2026-03-01 00:14:02,home,start
195,6000722,2026-03-01 00:14:03,savings_cajita,view
196,6011564,2026-03-01 00:14:09,home,view
197,6003664,2026-03-01 00:14:15,bill_payment,view
198,6003550,2026-03-01 00:14:23,bill_payment,view
199,6019609,2026-03-01 00:14:40,bill_payment,start
200,6037800,2026-03-01 00:14:42,home,start
201,6009067,2026-03-01 00:14:44,home,start
202,6019735,2026-03-01 00:14:46,home,view
203,6024868,2026-03-01 00:14:48,home,view
204,6010504,2026-03-01 00:14:57,savings_cajita,start
205,6010619,2026-03-01 00:14:57,savings_cajita,view
206,6004786,2026-03-01 00:14:58,home,view
207,6001927,2026-03-01 00:15:01,savings_cajita,view
208,6005752,2026-03-01 00:15:08,bill_payment,view
209,6016576,2026-03-01 00:15:13,savings_cajita,view
210,6019266,2026-03-01 00:15:13,loan_simulation,view
211,6031612,2026-03-01 00:15:14,home,view
212,6036491,2026-03-01 00:15:14,investments,start
213,6001059,2026-03-01 00:15:17,bill_payment,view
214,6010568,2026-03-01 00:15:22,home,view
215,6031399,2026-03-01 00:15:24,home,start
216,6029406,2026-03-01 00:15:25,bill_payment,start
217,6006213,2026-03-01 00:15:26,card_statement,view
218,6033127,2026-03-01 00:15:35,bill_payment,view
219,6004335,2026-03-01 00:15:37,bill_payment,start
220,6028482,2026-03-01 00:15:43,home,view
221,6029067,2026-03-01 00:15:44,home,view
222,6026125,2026-03-01 00:15:46,savings_cajita,start
223,6031975,2026-03-01 00:15:48,transfer_spei,view
224,6001106,2026-03-01 00:16:08,savings_cajita,view
225,6010977,2026-03-01 00:16:14,home,view
226,6021266,2026-03-01 00:16:22,loan_simulation,start
227,6001764,2026-03-01 00:16:22,savings_cajita,view
228,6028085,2026-03-01 00:16:25,savings_cajita,start
229,6011605,2026-03-01 00:16:29,transfer_spei,view
