customer_id,tenure_months,age,state,income_band,monthly_income_est_mxn,payday_day_of_month,engagement_score,avg_balance_mxn,card_utilization_pct,days_negative_90d,savings_rate_90d_pct,revenue_ltm_mxn,nps_last_score,has_cuenta_nu,has_cajita_turbo,has_personal_loan,has_investments,has_payroll_portability
6000000,28,21,Guanajuato,30k-60k,20000.0,30,62.9,64432.0,49.6,0,26.5,1191.0,,True,False,False,False,False
6000001,30,55,Chihuahua,>60k,48900.0,30,48.2,1153.0,81.2,0,7.6,1985.0,,False,False,False,False,False
6000002,10,29,Chihuahua,15k-30k,27000.0,1,91.8,1977.0,55.6,1,24.5,1973.0,8.0,False,False,False,False,False
6000003,28,29,Puebla,8k-15k,14500.0,30,4.2,5819.0,74.0,2,27.9,1408.0,,True,False,False,False,False
6000004,49,21,Chihuahua,15k-30k,22500.0,15,55.9,1204.0,66.2,3,28.8,1514.0,,False,False,False,False,False
6000005,8,37,CDMX,15k-30k,25100.0,1,73.6,3485.0,25.0,0,9.2,1047.0,7.0,False,False,False,False,False
6000006,48,35,Veracruz,30k-60k,37400.0,30,76.4,901.0,46.5,0,16.1,1196.0,,True,False,False,False,False
6000007,53,30,Guanajuato,30k-60k,45800.0,30,74.0,396.0,42.1,1,8.2,1116.0,,False,False,False,False,False
6000008,3,38,Queretaro,30k-60k,18400.0,30,54.6,788.0,24.5,0,20.8,875.0,,True,False,False,False,False
6000009,56,32,Guanajuato,>60k,38800.0,15,32.0,3233.0,63.9,1,46.5,1079.0,,True,False,False,True,False
6000010,37,29,Nuevo Leon,<8k,8500.0,30,35.7,824.0,42.3,0,17.3,651.0,,True,False,False,False,False
6000011,3,42,Chihuahua,15k-30k,11300.0,15,60.6,1030.0,28.3,0,13.3,487.0,9.0,True,False,False,False,True
6000012,59,28,Estado de Mexico,8k-15k,17200.0,15,19.1,2110.0,40.7,0,7.4,993.0,9.0,True,False,False,False,False
6000013,17,40,Estado de Mexico,8k-15k,19100.0,15,43.2,36059.0,67.6,2,52.1,1394.0,9.0,True,False,False,False,True
6000014,58,33,Puebla,<8k,5500.0,1,55.5,1927.0,70.7,0,0.0,929.0,5.0,False,False,False,False,False
6000015,1,32,Queretaro,30k-60k,27400.0,15,71.6,4103.0,67.4,0,13.0,1656.0,,True,True,True,False,True
6000016,10,47,Queretaro,15k-30k,13300.0,30,25.4,803.0,16.9,1,16.2,349.0,,False,False,False,False,False
6000017,37,50,Puebla,30k-60k,8000.0,15,22.9,7695.0,39.5,1,4.6,849.0,,False,False,True,False,True
6000018,14,44,Baja California,>60k,15200.0,1,51.5,2046.0,76.1,0,25.4,1390.0,,True,False,False,False,False
6000019,59,48,Baja California,15k-30k,28600.0,15,36.5,806.0,63.7,2,4.7,1716.0,,True,False,False,False,False
6000020,58,32,Veracruz,30k-60k,31400.0,1,59.7,3149.0,92.2,0,0.0,1994.0,,True,False,False,False,True
6000021,23,29,Guanajuato,<8k,16000.0,15,40.0,1301.0,63.9,0,16.5,1541.0,,False,False,False,False,False
6000022,47,30,Queretaro,<8k,17300.0,30,44.7,1537.0,47.2,0,51.5,880.0,,False,False,False,False,False
6000023,2,23,Veracruz,<8k,10700.0,30,63.1,4157.0,17.5,1,29.6,395.0,,True,False,False,False,False
6000024,29,38,Puebla,8k-15k,13200.0,15,25.7,1774.0,35.5,1,42.4,702.0,,True,False,False,False,False
6000025,59,33,Estado de Mexico,15k-30k,6300.0,30,65.6,3201.0,67.6,0,1.3,1088.0,7.0,True,False,False,False,False
6000026,20,38,Puebla,15k-30k,35300.0,1,49.4,3745.0,75.0,0,28.9,1611.0,9.0,True,False,False,False,False
6000027,15,31,Jalisco,15k-30k,26700.0,15,37.6,6805.0,30.5,0,38.8,1707.0,,True,False,True,False,False
6000028,36,35,Estado de Mexico,15k-30k,20200.0,30,37.3,4331.0,27.1,0,20.9,1198.0,,False,True,False,False,True
6000029,53,46,Chihuahua,8k-15k,27100.0,1,24.1,2944.0,34.0,0,26.5,1311.0,8.0,True,True,False,False,False
6000030,44,46,Baja California,<8k,27000.0,15,89.3,2204.0,13.7,0,30.2,560.0,9.0,False,False,False,False,False
6000031,31,27,Baja California,15k-30k,40400.0,15,48.3,518.0,51.1,1,11.3,1506.0,,True,False,False,False,False
6000032,33,47,Queretaro,30k-60k,57000.0,15,47.5,1627.0,38.0,0,22.3,3260.0,,False,True,False,False,False
6000033,16,43,Queretaro,<8k,7300.0,30,41.9,16046.0,28.0,1,20.1,488.0,,False,False,False,False,False
6000034,50,18,Baja California,15k-30k,8800.0,15,74.8,3641.0,45.6,0,9.3,832.0,8.0,True,False,False,False,True
6000035,58,30,Guanajuato,<8k,6200.0,15,76.8,351.0,85.0,1,49.6,1235.0,,True,False,False,False,False
6000036,3,41,Veracruz,30k-60k,24100.0,15,34.5,15107.0,35.9,0,28.0,1191.0,7.0,False,False,False,False,False
6000037,60,43,Veracruz,30k-60k,24200.0,30,74.5,3777.0,42.9,0,30.5,1203.0,,False,False,False,False,True
6000038,16,31,Puebla,8k-15k,5500.0,30,58.7,2587.0,41.0,4,10.9,606.0,7.0,False,False,False,False,False
6000039,53,31,Baja California,8k-15k,17000.0,30,42.2,2872.0,51.4,1,15.3,1090.0,6.0,False,False,False,True,False
6000040,23,29,Veracruz,15k-30k,14800.0,30,35.2,5472.0,35.2,0,10.2,684.0,,False,False,False,True,False
6000041,35,23,Chihuahua,15k-30k,12300.0,1,80.0,613.0,68.4,5,3.1,1278.0,,True,False,False,False,True
6000042,10,39,Puebla,15k-30k,12000.0,15,64.3,266.0,49.8,1,22.8,763.0,,True,False,False,False,False
6000043,33,61,CDMX,15k-30k,9100.0,30,55.7,2615.0,44.0,0,36.2,729.0,,False,False,False,False,False
6000044,13,46,Puebla,15k-30k,12100.0,30,55.1,1730.0,37.2,1,42.3,577.0,,True,False,False,False,False
6000045,15,18,Guanajuato,8k-15k,6700.0,15,82.2,681.0,46.7,2,45.1,726.0,8.0,True,False,False,False,False
6000046,36,42,Jalisco,15k-30k,10000.0,1,21.6,3414.0,6.6,0,46.0,320.0,6.0,False,False,False,False,False
6000047,38,48,Veracruz,<8k,14000.0,15,42.1,656.0,97.3,1,0.0,1762.0,,True,False,False,False,False
6000048,32,30,Nuevo Leon,15k-30k,28000.0,15,79.9,952.0,97.0,4,13.3,1829.0,6.0,True,False,False,False,False
6000049,53,39,Queretaro,8k-15k,30600.0,30,89.3,1147.0,59.1,1,0.0,1667.0,,True,False,False,False,True
6000050,7,36,Puebla,15k-30k,21100.0,15,55.4,3501.0,30.7,1,7.4,1161.0,,True,False,False,False,False
6000051,26,33,Puebla,<8k,9900.0,1,56.1,2300.0,78.7,1,16.2,1105.0,6.0,True,False,False,False,False
6000052,15,39,Jalisco,<8k,3700.0,1,21.3,3496.0,47.2,0,47.0,743.0,7.0,False,False,False,False,False
6000053,7,65,CDMX,>60k,36200.0,30,59.5,3973.0,15.1,0,28.8,715.0,10.0,True,True,False,False,False
6000054,45,40,Nuevo Leon,30k-60k,59200.0,15,87.7,413.0,92.1,1,52.8,3920.0,,False,False,True,False,False
6000055,18,31,Guanajuato,15k-30k,19500.0,30,37.2,794.0,40.3,0,2.1,790.0,,True,False,False,False,False
6000056,47,33,Puebla,8k-15k,8300.0,1,69.8,7534.0,37.6,0,15.3,615.0,5.0,True,True,False,False,False
6000057,3,29,Chihuahua,8k-15k,8500.0,30,78.6,5252.0,53.5,0,41.5,964.0,,False,False,False,False,True
6000058,57,34,Nuevo Leon,8k-15k,17400.0,1,20.7,10578.0,11.9,0,27.0,959.0,,True,False,False,False,True
6000059,50,38,Estado de Mexico,30k-60k,24100.0,15,38.5,560.0,29.5,0,25.5,922.0,,False,True,False,False,False
6000060,25,24,Baja California,15k-30k,15400.0,30,33.4,2548.0,49.5,2,7.9,1082.0,,True,False,False,False,False
6000061,10,61,Puebla,<8k,13600.0,15,58.0,3730.0,13.0,0,38.0,515.0,,False,True,False,False,False
6000062,12,22,Chihuahua,>60k,16300.0,1,22.5,2093.0,58.1,0,16.9,1390.0,9.0,True,False,False,False,False
6000063,26,41,Nuevo Leon,>60k,14200.0,1,66.9,1008.0,52.8,0,23.7,1277.0,,True,True,False,False,False
6000064,47,21,Nuevo Leon,8k-15k,11900.0,30,7.1,864.0,26.5,2,6.0,403.0,,True,False,False,False,False
6000065,31,50,Chihuahua,<8k,14500.0,15,66.0,342.0,75.3,2,17.1,1176.0,5.0,False,False,False,False,False
6000066,52,30,Jalisco,15k-30k,22500.0,15,90.4,1559.0,63.4,1,0.0,1058.0,,True,False,False,False,True
6000067,30,41,Nuevo Leon,15k-30k,8200.0,15,75.3,9920.0,14.3,0,35.1,257.0,,True,True,False,False,False
6000068,2,35,Nuevo Leon,8k-15k,12800.0,1,64.7,388.0,7.1,2,2.8,522.0,,True,False,False,False,True
6000069,39,33,Guanajuato,30k-60k,19800.0,15,50.4,3987.0,30.7,0,66.1,611.0,8.0,True,False,False,False,False
6000070,18,38,CDMX,15k-30k,44900.0,30,74.0,3103.0,15.6,0,37.3,1029.0,6.0,True,False,False,False,False
6000071,41,32,CDMX,15k-30k,16800.0,1,63.2,4379.0,49.6,3,1.3,1206.0,,False,False,False,False,True
6000072,58,52,Puebla,<8k,23300.0,15,76.7,9739.0,21.8,2,25.4,879.0,8.0,False,False,False,False,False
