action_id,customer_id,action_ts,action_type,amount_mxn,is_recurring
1,6009985,2026-03-01 06:00:01,bill_payment,1322.02,False
2,6034997,2026-03-01 06:00:02,savings_move,817.67,False
3,6029108,2026-03-01 06:00:03,bill_payment,1215.53,True
4,6032361,2026-03-01 06:00:03,deposit_in,13118.95,False
5,6020198,2026-03-01 06:00:11,savings_move,4540.21,False
6,6005200,2026-03-01 06:00:12,spei_out,2658.1,False
7,6008940,2026-03-01 06:00:13,deposit_in,16168.57,False
8,6020410,2026-03-01 06:00:17,bill_payment,530.08,False
9,6022055,2026-03-01 06:00:18,deposit_in,3097.36,True
10,6018089,2026-03-01 06:00:26,bill_payment,1816.53,True
11,6018002,2026-03-01 06:00:31,bill_payment,1980.76,True
12,6033415,2026-03-01 06:00:33,deposit_in,14153.35,False
13,6030174,2026-03-01 06:00:34,deposit_in,15882.75,False
14,6010862,2026-03-01 06:00:37,deposit_in,15708.15,False
15,6006181,2026-03-01 06:00:39,spei_out,3288.31,False
16,6031673,2026-03-01 06:00:42,savings_move,1271.04,False
17,6034310,2026-03-01 06:00:50,spei_out,84.02,False
18,6020817,2026-03-01 06:00:50,savings_move,2298.57,False
19,6015225,2026-03-01 06:00:51,bill_payment,1439.59,True
20,6022040,2026-03-01 06:00:52,limit_increase_request,44496.71,False
21,6029430,2026-03-01 06:00:54,bill_payment,1118.33,True
22,6000443,2026-03-01 06:00:57,savings_move,1928.27,False
23,6036211,2026-03-01 06:00:58,deposit_in,20712.99,True
24,6014664,2026-03-01 06:01:02,savings_move,8264.43,False
25,6008893,2026-03-01 06:01:11,bill_payment,948.32,False
26,6032659,2026-03-01 06:01:13,bill_payment,2380.73,True
27,6026807,2026-03-01 06:01:14,deposit_in,4163.0,False
28,6031778,2026-03-01 06:01:15,deposit_in,34809.43,False
29,6035579,2026-03-01 06:01:15,bill_payment,2213.07,False
30,6029412,2026-03-01 06:01:16,deposit_in,7352.84,True
31,6017898,2026-03-01 06:01:18,limit_increase_request,21649.88,False
32,6002640,2026-03-01 06:01:23,bill_payment,375.43,False
33,6026066,2026-03-01 06:01:24,deposit_in,8342.06,True
34,6028497,2026-03-01 06:01:31,bill_payment,351.5,False
35,6010264,2026-03-01 06:01:39,limit_increase_request,12746.3,False
36,6007123,2026-03-01 06:01:39,bill_payment,1580.35,False
37,6036459,2026-03-01 06:01:40,deposit_in,8623.84,True
38,6020549,2026-03-01 06:01:40,deposit_in,10275.65,False
39,6013910,2026-03-01 06:01:40,bill_payment,1234.12,True
40,6018214,2026-03-01 06:01:42,bill_payment,2583.01,True
41,6012094,2026-03-01 06:01:47,deposit_in,38912.71,True
42,6015798,2026-03-01 06:01:48,savings_move,574.01,False
43,6024382,2026-03-01 06:01:50,savings_move,2791.44,False
44,6018588,2026-03-01 06:01:51,deposit_in,29114.14,True
45,6036477,2026-03-01 06:01:52,bill_payment,594.36,False
46,6023789,2026-03-01 06:01:53,bill_payment,2253.39,True
47,6015941,2026-03-01 06:01:53,bill_payment,2475.36,True
48,6002128,2026-03-01 06:02:02,deposit_in,10228.87,True
49,6001474,2026-03-01 06:02:04,deposit_in,3730.7,False
50,6035504,2026-03-01 06:02:09,savings_move,3031.19,True
51,6024668,2026-03-01 06:02:11,deposit_in,19656.83,True
52,6031511,2026-03-01 06:02:13,deposit_in,11916.72,False
53,6002933,2026-03-01 06:02:15,deposit_in,6120.24,True
54,6030035,2026-03-01 06:02:16,bill_payment,201.21,True
55,6012434,2026-03-01 06:02:17,spei_out,6785.74,False
56,6002893,2026-03-01 06:02:20,savings_move,1455.4,False
57,6035258,2026-03-01 06:02:21,deposit_in,14727.15,False
58,6016906,2026-03-01 06:02:22,spei_out,2147.86,False
59,6000470,2026-03-01 06:02:23,deposit_in,16170.81,False
60,6033562,2026-03-01 06:02:25,bill_payment,2342.12,True
61,6013927,2026-03-01 06:02:26,deposit_in,5195.25,False
62,6035954,2026-03-01 06:02:28,spei_out,7475.38,False
63,6002708,2026-03-01 06:02:36,card_payment,5843.02,False
64,6005901,2026-03-01 06:02:45,savings_move,1791.04,False
65,6019947,2026-03-01 06:02:48,deposit_in,4143.82,True
66,6029723,2026-03-01 06:02:53,bill_payment,1785.98,True
67,6013579,2026-03-01 06:02:58,deposit_in,9794.26,False
68,6035697,2026-03-01 06:03:01,deposit_in,14521.75,False
69,6008428,2026-03-01 06:03:04,deposit_in,21142.52,False
70,6030912,2026-03-01 06:03:06,deposit_in,12796.81,True
71,6005609,2026-03-01 06:03:10,deposit_in,12432.5,True
72,6022734,2026-03-01 06:03:11,bill_payment,1121.57,False
73,6009936,2026-03-01 06:03:11,bill_payment,2392.64,False
74,6020865,2026-03-01 06:03:12,bill_payment,1778.68,True
75,6012391,2026-03-01 06:03:15,deposit_in,22141.89,True
76,6028332,2026-03-01 06:03:16,deposit_in,8156.69,True
77,6023300,2026-03-01 06:03:17,deposit_in,8904.09,True
78,6016537,2026-03-01 06:03:19,savings_move,1000.04,False
79,6017621,2026-03-01 06:03:24,bill_payment,2166.25,True
80,6009873,2026-03-01 06:03:24,deposit_in,56127.88,False
81,6030425,2026-03-01 06:03:26,savings_move,3391.71,False
82,6037734,2026-03-01 06:03:27,bill_payment,2519.04,True
83,6001907,2026-03-01 06:03:29,deposit_in,25213.14,False
84,6005140,2026-03-01 06:03:31,deposit_in,14976.65,True
85,6034497,2026-03-01 06:03:35,deposit_in,25975.53,True
86,6015196,2026-03-01 06:03:36,deposit_in,7861.83,True
87,6006289,2026-03-01 06:03:40,savings_move,1471.51,False
88,6027674,2026-03-01 06:03:46,bill_payment,1878.98,False
89,6032822,2026-03-01 06:03:47,card_payment,4992.69,False
90,6024462,2026-03-01 06:04:04,deposit_in,23566.9,True
91,6003080,2026-03-01 06:04:07,deposit_in,12519.28,True
92,6022442,2026-03-01 06:04:13,deposit_in,9582.69,True
93,6009493,2026-03-01 06:04:19,bill_payment,2587.28,True
94,6020583,2026-03-01 06:04:23,savings_move,3352.4,False
95,6034808,2026-03-01 06:04:23,savings_move,1630.16,False
96,6021516,2026-03-01 06:04:26,savings_move,1368.68,False
97,6032396,2026-03-01 06:04:34,spei_out,1637.22,False
98,6013890,2026-03-01 06:04:34,deposit_in,14953.48,False
99,6004561,2026-03-01 06:04:34,savings_move,3040.04,True
100,6006994,2026-03-01 06:04:37,deposit_in,18581.5,True
101,6035560,2026-03-01 06:04:40,deposit_in,15656.04,False
102,6024583,2026-03-01 06:04:43,deposit_in,8310.99,False
103,6028880,2026-03-01 06:04:44,deposit_in,9455.96,True
104,6002569,2026-03-01 06:04:47,savings_move,2255.08,False
105,6003048,2026-03-01 06:04:49,deposit_in,23687.17,False
106,6005386,2026-03-01 06:04:51,bill_payment,1266.35,False
107,6016938,2026-03-01 06:04:53,savings_move,1417.4,False
108,6003431,2026-03-01 06:04:54,deposit_in,23219.65,False
109,6033853,2026-03-01 06:04:57,deposit_in,16588.37,False
110,6003935,2026-03-01 06:04:57,savings_move,734.56,False
111,6003550,2026-03-01 06:04:58,deposit_in,4999.75,True
112,6025179,2026-03-01 06:05:02,deposit_in,24268.47,False
113,6031642,2026-03-01 06:05:06,card_payment,3012.93,False
114,6025000,2026-03-01 06:05:07,deposit_in,11810.63,True
115,6003770,2026-03-01 06:05:09,deposit_in,18449.44,False
116,6036560,2026-03-01 06:05:18,deposit_in,17122.53,False
117,6012866,2026-03-01 06:05:25,deposit_in,20003.1,False
118,6023551,2026-03-01 06:05:32,savings_move,5268.22,False
119,6020491,2026-03-01 06:05:33,deposit_in,28174.74,True
120,6002911,2026-03-01 06:05:35,savings_move,11492.49,False
121,6012588,2026-03-01 06:05:36,savings_move,3165.79,False
122,6021065,2026-03-01 06:05:37,savings_move,1858.0,False
123,6011297,2026-03-01 06:05:45,bill_payment,1073.81,False
124,6020473,2026-03-01 06:05:45,deposit_in,8348.59,False
125,6019966,2026-03-01 06:05:46,deposit_in,45473.55,False
126,6032191,2026-03-01 06:05:48,bill_payment,1900.67,False
127,6015690,2026-03-01 06:05:49,deposit_in,13387.97,True
128,6005264,2026-03-01 06:05:51,spei_out,6362.86,False
129,6024915,2026-03-01 06:05:58,deposit_in,6033.99,False
130,6000158,2026-03-01 06:05:59,deposit_in,10222.83,False
131,6035546,2026-03-01 06:06:03,deposit_in,35140.47,False
132,6013249,2026-03-01 06:06:09,limit_increase_request,42531.36,False
133,6020520,2026-03-01 06:06:12,bill_payment,2182.35,False
134,6017873,2026-03-01 06:06:16,bill_payment,1645.53,True
135,6016833,2026-03-01 06:06:19,savings_move,6768.34,False
136,6011321,2026-03-01 06:06:19,deposit_in,5002.67,False
137,6021282,2026-03-01 06:06:21,bill_payment,1856.71,True
138,6028595,2026-03-01 06:06:22,bill_payment,267.88,False
139,6017935,2026-03-01 06:06:23,spei_out,2525.31,False
140,6006489,2026-03-01 06:06:28,bill_payment,761.12,False
141,6018664,2026-03-01 06:06:33,savings_move,9991.83,False
142,6000351,2026-03-01 06:06:35,deposit_in,12139.87,True
143,6023541,2026-03-01 06:06:35,card_payment,1762.8,False
144,6006560,2026-03-01 06:06:37,deposit_in,19755.06,True
145,6021081,2026-03-01 06:06:39,deposit_in,20252.95,False
146,6023984,2026-03-01 06:06:40,deposit_in,3617.35,False
147,6030485,2026-03-01 06:06:51,deposit_in,11700.08,False
148,6000209,2026-03-01 06:06:51,bill_payment,1579.39,False
149,6029157,2026-03-01 06:06:51,bill_payment,436.96,False
150,6028253,2026-03-01 06:06:51,savings_move,1557.63,False
151,6007332,2026-03-01 06:06:52,bill_payment,1574.64,True
152,6012620,2026-03-01 06:06:57,savings_move,915.39,False
153,6018716,2026-03-01 06:07:05,bill_payment,1229.7,False
154,6025270,2026-03-01 06:07:10,savings_move,889.15,False
155,6004011,2026-03-01 06:07:16,deposit_in,2609.09,True
156,6010866,2026-03-01 06:07:17,deposit_in,6082.8,False
157,6013746,2026-03-01 06:07:17,deposit_in,6433.39,True
158,6024255,2026-03-01 06:07:19,spei_out,1046.55,False
159,6010371,2026-03-01 06:07:22,savings_move,12916.85,False
160,6029326,2026-03-01 06:07:36,deposit_in,3120.49,True
161,6018334,2026-03-01 06:07:36,bill_payment,2352.11,True
162,6024430,2026-03-01 06:07:38,bill_payment,1626.93,False
163,6005574,2026-03-01 06:07:43,bill_payment,348.53,True
164,6008094,2026-03-01 06:07:44,bill_payment,962.29,False
165,6010671,2026-03-01 06:07:45,bill_payment,1183.47,False
166,6033970,2026-03-01 06:07:45,savings_move,526.89,False
167,6021202,2026-03-01 06:07:48,bill_payment,1086.64,True
168,6033003,2026-03-01 06:07:49,deposit_in,48413.61,True
169,6009577,2026-03-01 06:07:50,bill_payment,2014.47,True
170,6003205,2026-03-01 06:07:51,spei_out,2413.54,False
171,6000851,2026-03-01 06:07:57,deposit_in,10709.4,False
172,6008900,2026-03-01 06:07:58,deposit_in,10482.87,True
173,6015065,2026-03-01 06:07:58,bill_payment,2521.99,True
174,6015675,2026-03-01 06:08:00,spei_out,375.86,False
175,6026310,2026-03-01 06:08:00,deposit_in,18533.09,False
176,6000091,2026-03-01 06:08:01,savings_move,4450.45,False
177,6027785,2026-03-01 06:08:02,bill_payment,1299.76,True
178,6007886,2026-03-01 06:08:05,savings_move,5683.97,False
179,6016220,2026-03-01 06:08:05,deposit_in,6572.74,True
180,6014175,2026-03-01 06:08:10,spei_out,1571.51,False
181,6033805,2026-03-01 06:08:13,deposit_in,9461.06,False
182,6000011,2026-03-01 06:08:15,bill_payment,555.55,False
183,6029563,2026-03-01 06:08:18,savings_move,2961.21,False
184,6030588,2026-03-01 06:08:21,savings_move,388.35,False
185,6022553,2026-03-01 06:08:25,bill_payment,2170.77,False
186,6002291,2026-03-01 06:08:26,spei_out,3698.23,False
187,6028551,2026-03-01 06:08:30,bill_payment,331.07,False
188,6005517,2026-03-01 06:08:30,bill_payment,2216.63,False
189,6006840,2026-03-01 06:08:30,card_payment,4750.34,False
190,6010168,2026-03-01 06:08:30,deposit_in,57608.35,False
191,6037918,2026-03-01 06:08:32,deposit_in,7175.36,True
192,6011838,2026-03-01 06:08:36,savings_move,2294.58,False
193,6009982,2026-03-01 06:08:37,deposit_in,12505.81,False
194,6035977,2026-03-01 06:08:41,bill_payment,273.34,True
195,6025240,2026-03-01 06:08:44,card_payment,2741.55,False
196,6026390,2026-03-01 06:08:47,deposit_in,3375.01,False
197,6031677,2026-03-01 06:08:49,savings_move,2311.66,False
198,6035455,2026-03-01 06:08:56,bill_payment,363.62,True
199,6027278,2026-03-01 06:08:56,deposit_in,13520.38,False
200,6014271,2026-03-01 06:08:57,savings_move,1401.23,False
201,6028394,2026-03-01 06:09:01,savings_move,3735.8,False
202,6019646,2026-03-01 06:09:02,deposit_in,6191.11,True
203,6012532,2026-03-01 06:09:10,bill_payment,726.26,True
204,6008141,2026-03-01 06:09:12,savings_move,1898.69,False
205,6003776,2026-03-01 06:09:13,savings_move,3315.97,False
206,6028544,2026-03-01 06:09:17,spei_out,1467.89,False
207,6024868,2026-03-01 06:09:17,deposit_in,11923.62,True
208,6018506,2026-03-01 06:09:19,bill_payment,1060.24,True
209,6002288,2026-03-01 06:09:19,savings_move,1627.97,True
210,6017473,2026-03-01 06:09:20,bill_payment,2564.03,False
211,6001718,2026-03-01 06:09:27,deposit_in,14899.48,True
212,6001419,2026-03-01 06:09:27,spei_out,3279.17,True
213,6009964,2026-03-01 06:09:32,deposit_in,12061.28,True
