nudge_id,delta_card_utilization_pct_90d,delta_savings_rate_pct_90d,delta_days_negative_90d,delta_revenue_mxn_90d
1,0.3,0.17,0.36,-8.34
2,-0.99,1.16,0.06,-3.47
3,0.66,0.12,-0.07,-13.88
4,0.01,-0.67,-0.15,-8.71
5,-0.16,0.54,0.29,9.32
6,0.65,1.53,-0.34,-31.88
7,-0.21,1.41,0.33,-11.0
8,-0.33,0.8,0.47,-4.71
9,0.29,0.85,-0.57,23.67
10,1.45,-0.46,-0.31,34.34
11,0.11,-0.95,-0.28,-4.02
12,1.99,-1.77,-0.18,38.03
13,-1.46,-0.21,-0.22,-22.43
14,-0.58,3.3,-0.03,23.22
15,9.29,-3.59,0.34,201.45
16,-1.09,0.49,-0.32,19.78
17,0.65,0.66,0.52,-1.41
18,0.63,-1.21,-0.49,-10.77
19,0.21,-0.5,0.2,26.94
20,1.34,1.44,-0.13,-9.6
21,-0.38,0.58,0.03,-6.02
22,0.21,1.4,-0.13,15.21
23,0.71,1.13,0.12,-3.68
24,0.86,0.57,0.3,33.18
25,-0.23,0.52,-0.04,10.65
26,-0.68,0.07,-0.04,15.04
27,-0.21,-1.58,-0.4,8.42
28,2.04,-0.6,0.12,42.64
29,-1.11,-0.38,0.09,-33.67
30,-0.01,-0.54,-0.08,22.93
31,1.52,0.05,0.24,-5.66
32,-0.72,-0.03,-0.12,-26.2
33,0.42,0.51,0.2,-26.23
34,0.15,0.76,-0.56,-88.3
35,0.54,0.17,-0.26,-31.54
36,0.67,3.14,-0.03,56.56
37,-1.34,0.76,-0.55,-21.88
38,0.67,-1.4,-0.19,104.62
39,1.24,-1.29,0.28,-28.39
40,-0.26,2.34,-0.2,3.92
41,0.69,0.26,0.23,-8.16
42,0.37,0.49,0.13,-39.08
43,-0.1,0.94,0.14,-10.86
44,0.55,1.04,-0.3,-17.61
45,0.35,-0.71,-0.1,-16.06
46,-0.37,2.95,0.08,54.49
47,-0.59,-0.17,0.14,16.14
48,0.07,-0.66,-0.05,0.82
49,-3.72,7.66,-0.44,39.95
50,-0.81,1.78,0.21,8.1
51,-2.36,1.14,0.42,-50.47
52,0.9,0.45,-0.13,-36.17
53,9.46,-1.64,-0.09,260.37
54,-1.46,0.35,-0.08,39.79
55,2.4,0.23,0.46,-23.51
56,0.84,-0.18,-0.01,31.8
57,0.23,1.11,-0.25,7.82
58,0.24,-0.04,-1.21,-91.65
59,-0.89,0.89,0.09,10.48
60,-0.09,-0.83,-0.11,-16.29
61,-0.43,-0.01,-0.07,-23.34
62,0.1,0.31,-0.14,3.97
63,6.73,-2.5,0.53,194.48
64,0.43,0.78,-0.32,-16.43
65,0.68,-0.79,-0.23,-32.84
66,-1.97,0.06,-0.05,10.96
67,-2.94,0.31,0.1,26.22
68,-0.85,0.32,-0.04,-16.64
69,-0.66,0.11,-0.14,122.06
70,0.97,0.31,-0.34,-5.05
71,17.47,-3.01,2.33,310.22
72,0.24,-0.55,0.6,-26.61
73,-0.13,0.57,-0.13,-13.43
74,2.79,0.4,-0.11,-15.62
75,-0.23,0.05,0.1,7.54
76,-1.32,-0.0,-0.04,-34.87
77,0.73,-0.81,-0.51,39.52
78,-0.81,0.19,-0.18,49.09
79,0.76,-0.53,0.3,-0.0
80,1.3,-0.48,-0.32,32.25
81,0.49,1.17,-0.25,-39.44
82,-1.0,0.3,-0.26,13.31
83,-0.18,0.44,0.13,30.74
84,0.33,-0.41,0.06,-4.8
85,-3.11,5.84,-0.99,23.12
86,0.75,-0.35,-0.24,53.07
87,1.02,1.13,0.14,-13.98
88,0.19,0.02,0.03,-3.06
89,8.76,-3.91,0.54,204.86
90,6.95,-1.87,0.88,234.17
91,-0.25,-0.22,0.15,37.87
92,4.56,-2.05,-0.01,262.36
93,-1.62,0.36,0.05,86.59
94,-0.16,-0.04,-0.06,68.45
95,-2.25,6.07,-0.57,34.23
96,-1.04,1.18,0.38,3.71
97,-0.34,0.42,-0.25,-14.19
98,1.3,0.96,0.12,21.52
99,-0.99,-0.15,-0.09,-8.98
100,-1.07,1.46,-0.03,-15.27
101,2.09,0.07,0.15,-7.72
102,-0.11,0.03,-0.27,41.29
103,0.06,-1.86,0.04,-32.91
104,0.85,-0.75,0.16,45.17
105,0.28,-0.09,-0.16,39.23
106,-1.24,0.3,0.14,-36.97
107,0.88,-0.46,-0.06,-11.32
108,0.1,0.28,0.35,52.76
109,0.38,0.17,0.24,74.36
110,0.01,0.39,-0.01,34.59
111,-0.46,1.35,0.12,3.3
112,-0.06,-0.0,0.03,23.04
113,-0.93,0.96,0.02,38.04
114,-0.1,-0.84,-0.29,-21.23
115,1.54,0.26,0.04,19.17
116,-0.76,-1.49,-0.09,-0.81
117,-1.85,1.33,-0.15,17.56
118,0.78,-0.19,-0.13,18.7
119,-0.85,-0.36,-0.21,-16.99
120,1.49,0.46,0.39,10.34
121,1.1,0.25,0.24,10.13
122,0.72,1.0,-1.21,-69.21
123,-2.04,1.28,-0.28,42.05
124,-0.03,0.01,-1.08,-69.26
