nudge_id,customer_id,shown_ts,nudge_type,surface,exposure_no,hours_since_last_nudge,engaged,dismissed,opted_out_after
1,6004828,2026-03-01 08:00:04,limit_increase,push,1,,False,True,False
2,6035732,2026-03-01 08:00:37,savings_goal,in_app_modal,1,,False,False,False
3,6017367,2026-03-01 08:00:38,bill_reminder,push,1,,False,False,False
4,6017615,2026-03-01 08:00:42,loan_offer,home_card,1,,False,False,False
5,6016986,2026-03-01 08:00:47,invest_start,push,1,,False,True,False
6,6008210,2026-03-01 08:01:19,payroll_portability,home_card,1,,False,False,False
7,6022018,2026-03-01 08:02:34,savings_goal,in_app_modal,1,,False,False,False
8,6015993,2026-03-01 08:03:07,bill_reminder,home_card,1,,False,False,False
9,6015423,2026-03-01 08:03:27,savings_goal,home_card,1,,False,True,False
10,6019278,2026-03-01 08:03:42,loan_offer,home_card,1,,False,True,False
11,6017396,2026-03-01 08:03:50,loan_offer,push,1,,False,True,False
12,6006632,2026-03-01 08:05:57,loan_offer,push,1,,False,False,False
13,6012174,2026-03-01 08:06:38,invest_start,home_card,1,,False,True,False
14,6035655,2026-03-01 08:07:06,payroll_portability,in_app_modal,1,,True,False,False
15,6025492,2026-03-01 08:07:19,limit_increase,home_card,1,,True,False,False
16,6019347,2026-03-01 08:08:14,loan_offer,push,1,,False,True,False
17,6006119,2026-03-01 08:08:45,savings_goal,push,1,,False,False,False
18,6001418,2026-03-01 08:09:03,bill_reminder,in_app_modal,1,,False,False,False
19,6033425,2026-03-01 08:09:34,savings_goal,home_card,1,,False,False,False
20,6025890,2026-03-01 08:09:57,invest_start,push,1,,False,False,False
21,6007561,2026-03-01 08:10:45,bill_reminder,in_app_modal,1,,False,True,False
22,6024573,2026-03-01 08:11:49,bill_reminder,push,1,,False,True,False
23,6002113,2026-03-01 08:11:56,savings_goal,home_card,1,,False,False,False
24,6011814,2026-03-01 08:11:58,payroll_portability,push,1,,False,False,False
25,6009312,2026-03-01 08:12:04,payroll_portability,home_card,1,,False,False,False
26,6032798,2026-03-01 08:12:09,limit_increase,push,1,,False,False,False
27,6023626,2026-03-01 08:12:13,invest_start,push,1,,False,False,False
28,6019392,2026-03-01 08:12:14,limit_increase,push,1,,False,False,False
29,6027937,2026-03-01 08:12:19,bill_reminder,in_app_modal,1,,False,True,False
30,6008953,2026-03-01 08:13:47,savings_goal,in_app_modal,1,,False,False,False
